segment	voc	cons	son	voi	cor	lab	dor	glot	round	back	cont	dr	nas	lat	rhot	hi	lo	ant	word
p	-1	1	-1	-1	-1	1	-1	-1	0	0	-1	-1	-1	-1	-1	0	0	1	-1
t	-1	1	-1	-1	1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	0	0	1	-1
k	-1	1	-1	-1	-1	-1	1	-1	0	0	-1	-1	-1	-1	-1	0	0	-1	-1
b	-1	1	-1	1	-1	1	-1	-1	0	0	-1	-1	-1	-1	-1	0	0	1	-1
d	-1	1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	0	0	1	-1
g	-1	1	-1	1	-1	-1	1	-1	0	0	-1	-1	-1	-1	-1	0	0	-1	-1
f	-1	1	-1	-1	-1	1	-1	-1	0	0	1	-1	-1	-1	-1	0	0	1	-1
v	-1	1	-1	1	-1	1	-1	-1	0	0	1	-1	-1	-1	-1	0	0	1	-1
s	-1	1	-1	-1	1	-1	-1	-1	0	0	1	-1	-1	-1	-1	0	0	1	-1
S	-1	1	-1	-1	1	-1	-1	-1	0	0	1	-1	-1	-1	-1	0	0	-1	-1
z	-1	1	-1	1	1	-1	-1	-1	0	0	1	-1	-1	-1	-1	0	0	1	-1
Z	-1	1	-1	1	1	-1	-1	-1	0	0	1	-1	-1	-1	-1	0	0	-1	-1
h	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	-1	-1	-1	-1	0	0	-1	-1
T	-1	1	-1	-1	1	-1	-1	-1	0	0	-1	1	-1	-1	-1	0	0	-1	-1
D	-1	1	-1	1	1	-1	-1	-1	0	0	-1	1	-1	-1	-1	0	0	-1	-1
a	1	-1	1	0	0	0	0	0	-1	1	1	0	-1	0	0	-1	1	0	-1
e	1	-1	1	0	0	0	0	0	-1	-1	1	0	-1	0	0	-1	-1	0	-1
i	1	-1	1	0	0	0	0	0	-1	-1	1	0	-1	0	0	1	-1	0	-1
y	1	-1	1	0	0	0	0	0	1	-1	1	0	-1	0	0	1	-1	0	-1
o	1	-1	1	0	0	0	0	0	1	1	1	0	-1	0	0	-1	-1	0	-1
q	1	-1	1	0	0	0	0	0	1	-1	1	0	-1	0	0	-1	-1	0	-1
u	1	-1	1	0	0	0	0	0	1	1	1	0	-1	0	0	1	-1	0	-1
w	1	-1	1	0	0	0	0	0	-1	1	1	0	-1	0	0	1	-1	0	-1
n	-1	1	1	0	1	-1	-1	-1	0	0	-1	-1	1	-1	-1	0	0	1	-1
m	-1	1	1	0	-1	1	-1	-1	0	0	-1	-1	1	-1	-1	0	0	1	-1
l	-1	1	1	0	1	-1	-1	-1	0	0	1	-1	-1	1	-1	0	0	1	-1
L	-1	1	1	0	1	-1	-1	-1	0	0	1	-1	-1	1	-1	0	0	-1	-1
r	-1	1	1	0	1	-1	-1	-1	0	0	1	-1	-1	-1	1	0	0	1	-1
K	-1	1	-1	-1	1	-1	1	-1	0	0	-1	-1	-1	-1	-1	0	0	-1	-1
G	-1	1	-1	1	1	-1	1	-1	0	0	-1	-1	-1	-1	-1	0	0	-1	-1
j	-1	-1	1	0	1	-1	-1	-1	0	0	1	-1	-1	-1	-1	0	0	-1	-1
|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
